Category,Title,Exp_Years,Key_Skills,Location,Salary_Min,Salary_Max,Employment,Remote,Summary
ML Engineer,Junior ML Engineer,2-3,"Python, scikit-learn, Pandas, SQL, Git",Регионы,75000,120000,Полная,Удалённо,"Прототипирование. Исследования. Помощь."
Cloud Engineer,Cloud/DevOps Engineer,4-6,"AWS, Terraform, Kubernetes, CI/CD, Python",Москва,135000,240000,Полная,Гибрид,"Инфраструктура как код. Автоматизация."
Cloud Engineer,Senior Cloud Architect,7-9,"AWS/Azure, Microservices, Security, Cost Opt",Москва,210000,350000,Полная,Гибрид,"Архитектура облачных решений. Стратегия."
Cloud Engineer,DevOps Engineer,4-6,"Docker, Kubernetes, Jenkins, Ansible, GitLab",Санкт-Петербург,120000,200000,Полная,Гибрид,"CI/CD пайплайны. Деплой. Инфраструктура."
Cloud Engineer,Cloud Security Engineer,5-7,"AWS Security, IAM, Compliance, Encryption",Москва,160000,270000,Полная,Нет,"Безопасность инфраструктуры. Аудит."
Cloud Engineer,Junior Cloud Engineer,2-3,"AWS/Azure, Linux, Docker, Terraform, Bash",Регионы,80000,130000,Полная,Удалённо,"Изучение облачных сервисов. Помощь."
Фронтенд-разработчик,Frontend Developer (E-commerce),3-5,"React, Redux, Payment APIs, SEO, Performance",Москва,105000,175000,Полная,Да,"Интернет-магазины. Оптимизация конверсии."
Фронтенд-разработчик,Frontend Developer (Dashboard),4-6,"React, D3.js, Charts, WebSocket, Real-time",Санкт-Петербург,100000,170000,Полная,Гибрид,"Дашборды. Визуализация данных."
Бэкенд-разработчик,Backend Developer (Fintech),4-6,"Python/Java, Security, PCI DSS, Payments",Москва,140000,230000,Полная,Нет,"Финтех. Безопасность. Платёжные интеграции."
Бэкенд-разработчик,Backend Developer (API),3-5,"REST, GraphQL, API Gateway, Rate Limiting",Москва,110000,180000,Полная,Да,"Разработка API. Документация. Версионирование."
Python-разработчик,Python Developer (Automation),3-5,"Python, Selenium, BeautifulSoup, APIs",Регионы,85000,145000,Полная,Удалённо,"Автоматизация. Парсинг. Скрипты."
Python-разработчик,Python Developer (Backend),4-6,"FastAPI, PostgreSQL, Redis, Celery, Docker",Москва,125000,205000,Полная,Гибрид,"Асинхронный бэкенд. Оптимизация."
Data Scientist,Data Scientist (Marketing),3-5,"Python, SQL, Attribution, Segmentation, A/B",Москва,120000,200000,Полная,Гибрид,"Маркетинговая аналитика. Сегментация."
Data Scientist,Data Scientist (Finance),4-6,"Python, Time Series, Forecasting, Risk Models",Москва,150000,250000,Полная,Гибрид,"Финансовое моделирование. Прогнозы."
Full Stack,Full Stack Developer (SaaS),4-6,"React, Node.js, Stripe, Multi-tenant, AWS",Москва/Удалённо,130000,210000,Полная,Да,"SaaS-платформы. Мультиарендность."
Full Stack,Full Stack Developer (Startup),3-5,"React, Python, AWS, MVP, Fast Iteration",Регионы,90000,150000,Полная,Удалённо,"Стартапы. Быстрая разработка."
Мобильный разработчик,iOS Developer (SwiftUI),3-5,"Swift, SwiftUI, Combine, CloudKit, REST",Москва,120000,200000,Полная,Гибрид,"Современная iOS-разработка. SwiftUI."
Мобильный разработчик,Android Developer (Jetpack),3-5,"Kotlin, Jetpack Compose, Coroutines, Hilt",Санкт-Петербург,115000,190000,Полная,Да,"Современная Android-разработка."
ML Engineer,ML Engineer (Recommendation),4-6,"Python, Collaborative Filtering, Spark, DL",Москва,155000,255000,Полная,Гибрид,"Рекомендательные системы. Персонализация."
ML Engineer,ML Engineer (Forecasting),4-6,"Python, Prophet, ARIMA, LSTM, Time Series",Москва,145000,245000,Полная,Да,"Прогнозирование. Временные ряды."
Cloud Engineer,Cloud Engineer (AWS),4-6,"AWS, EC2, S3, Lambda, RDS, CloudFormation",Москва,135000,225000,Полная,Гибрид,"Инфраструктура на AWS. Оптимизация."
Cloud Engineer,Cloud Engineer (Azure),4-6,"Azure, VMs, Blob, Functions, ARM, Terraform",Москва,130000,220000,Полная,Гибрид,"Инфраструктура на Azure. Миграция."
Cloud Engineer,Cloud Engineer (GCP),4-6,"GCP, Compute, BigQuery, Functions, Terraform",Москва/Удалённо,135000,230000,Полная,Да,"Инфраструктура на GCP. Data и ML."
Фронтенд-разработчик,Frontend Developer (Mobile Web),3-5,"React, PWA, Responsive, Touch UI, Performance",Регионы,90000,150000,Полная,Удалённо,"Мобильный веб. Progressive Web Apps."
Фронтенд-разработчик,Frontend Developer (Enterprise),4-6,"Angular, TypeScript, RxJS, Security, Scale",Москва,120000,200000,Полная,Гибрид,"Корпоративные приложения. Безопасность."
Бэкенд-разработчик,Backend Developer (Microservices),5-7,"Microservices, Docker, Kubernetes, gRPC",Москва,160000,260000,Полная,Гибрид,"Микросервисы. Распределённые системы."
Бэкенд-разработчик,Backend Developer (Real-time),4-6,"WebSocket, Redis Pub/Sub, Kafka, Streaming",Москва,135000,225000,Полная,Да,"Real-time системы. Чаты. Уведомления."
Python-разработчик,Python Developer (API),3-5,"FastAPI, REST, GraphQL, OpenAPI, Auth",Москва,115000,190000,Полная,Гибрид,"API на Python. Документация. Безопасность."
Python-разработчик,Python Developer (Data),4-6,"Python, Pandas, Airflow, ETL, Data Pipelines",Москва,130000,210000,Полная,Гибрид,"Data engineering. Пайплайны. Трансформация."
Data Scientist,Data Scientist (Healthcare),4-6,"Python, Medical Data, HIPAA, Predictive Models",Москва,140000,240000,Полная,Гибрид,"Медицинская аналитика. Прогнозы."
Data Scientist,Data Scientist (Retail),3-5,"Python, Demand Forecasting, Inventory, SQL",Регионы,110000,180000,Полная,Гибрид,"Ритейл-аналитика. Прогноз спроса."
Full Stack,Full Stack Developer (Marketplace),4-6,"React, Node.js, Search, Payments, Reviews",Москва,140000,230000,Полная,Гибрид,"Маркетплейсы. Каталог. Поиск."
Full Stack,Full Stack Developer (Social),3-5,"React, Node.js, WebSocket, Feed, Notifications",Москва,125000,205000,Полная,Да,"Социальные платформы. Лента."
Мобильный разработчик,iOS Developer (Enterprise),4-6,"Swift, MDM, Security, Internal Apps",Москва,140000,230000,Полная,Гибрид,"Корпоративные iOS-приложения."
Мобильный разработчик,Android Developer (Enterprise),4-6,"Kotlin, MDM, Security, EMM, Internal Apps",Москва,135000,225000,Полная,Гибрид,"Корпоративные Android-приложения."
ML Engineer,ML Engineer (Fraud),5-7,"Python, Anomaly Detection, Real-time, Security",Москва,170000,280000,Полная,Гибрид,"Фрод-детекция. Аномалии. Безопасность."
ML Engineer,ML Engineer (Search),4-6,"Python, Elasticsearch, Ranking, NLP, Relevance",Москва,150000,250000,Полная,Гибрид,"Поисковые системы. Ранжирование."
Cloud Engineer,Cloud Engineer (Migration),5-7,"Cloud Migration, Lift-and-Shift, Refactoring",Москва,155000,260000,Полная,Гибрид,"Миграция в облако. Планирование."
Cloud Engineer,Cloud Engineer (Cost),4-6,"Cost Optimization, Reserved Instances, FinOps",Москва/Удалённо,140000,230000,Полная,Да,"Оптимизация расходов. Финансы."
Фронтенд-разработчик,Frontend Developer (Accessibility),3-5,"WCAG, ARIA, Accessibility, Testing, Inclusive",Москва,105000,175000,Полная,Гибрид,"Доступные интерфейсы. Инклюзивный дизайн."
Фронтенд-разработчик,Frontend Developer (Performance),4-6,"Performance, Lighthouse, Optimization, CDN",Москва,120000,200000,Полная,Да,"Оптимизация производительности."
Бэкенд-разработчик,Backend Developer (Security),5-7,"Security, OWASP, Encryption, Auth, Pentest",Москва,165000,275000,Полная,Нет,"Безопасность бэкенда. Защита."
Бэкенд-разработчик,Backend Developer (Scale),6-8,"High Load, Scaling, Caching, Sharding",Москва,180000,300000,Полная,Гибрид,"Высоконагруженные системы. Масштабирование."
Python-разработчик,Python Developer (MLOps),4-6,"Python, MLOps, Docker, Kubernetes, Serving",Москва,145000,240000,Полная,Гибрид,"ML-инфраструктура. Деплой. Мониторинг."
Python-разработчик,Python Developer (IoT),4-6,"Python, MQTT, IoT, Sensors, Real-time Data",Регионы,110000,185000,Полная,Удалённо,"IoT-проекты. Устройства. Данные."
Data Scientist,Data Scientist (Computer Vision),5-7,"Python, OpenCV, CNN, YOLO, Image Classification",Москва,165000,275000,Полная,Гибрид,"Компьютерное зрение. Обработка изображений."
Data Scientist,Data Scientist (Time Series),4-6,"Python, Prophet, ARIMA, LSTM, Forecasting",Москва,145000,245000,Полная,Гибрид,"Временные ряды. Прогнозирование."
Full Stack,Full Stack Developer (Blockchain),4-6,"React, Node.js, Web3, Smart Contracts, Crypto",Москва/Удалённо,160000,290000,Полная,Да,"Блокчейн-проекты. Web3."
Full Stack,Full Stack Developer (AI),4-6,"React, Python, AI APIs, Chatbots, LLM",Москва,150000,250000,Полная,Гибрид,"AI-приложения. Интеграция языковых моделей."
Мобильный разработчик,iOS Developer (AR),4-6,"Swift, ARKit, 3D, RealityKit, Computer Vision",Москва,155000,260000,Полная,Гибрид,"Дополненная реальность на iOS."
Мобильный разработчик,Android Developer (AR),4-6,"Kotlin, ARCore, 3D, Sceneform, Computer Vision",Москва,150000,255000,Полная,Гибрид,"Дополненная реальность на Android."
ML Engineer,ML Engineer (AutoML),4-6,"Python, AutoML, Hyperparameter Tuning, NAS",Москва,155000,260000,Полная,Гибрид,"Автоматизация ML. AutoML."
ML Engineer,ML Engineer (Edge),4-6,"Python, TensorFlow Lite, Edge Devices, Opt",Регионы,140000,230000,Полная,Удалённо,"Edge ML. Модели на устройствах."
Cloud Engineer,Cloud Engineer (Serverless),4-6,"AWS Lambda, Azure Functions, Serverless, API GW",Москва/Удалённо,135000,225000,Полная,Да,"Serverless-архитектуры."
Cloud Engineer,Cloud Engineer (Kubernetes),5-7,"Kubernetes, Helm, Operators, Service Mesh",Москва,160000,270000,Полная,Гибрид,"Kubernetes-инфраструктура."
Фронтенд-разработчик,Frontend Developer (PWA),3-5,"React, Service Workers, Offline, Push, PWA",Регионы,95000,155000,Полная,Удалённо,"Progressive Web Apps. Офлайн."
Фронтенд-разработчик,Frontend Developer (Testing),3-5,"React, Jest, Cypress, E2E, Testing Library",Москва,110000,180000,Полная,Гибрид,"Тестирование фронтенда. E2E."
Бэкенд-разработчик,Backend Developer (GraphQL),3-5,"GraphQL, Apollo, Node.js, Schema Design",Москва,115000,185000,Полная,Да,"GraphQL API. Schema. Оптимизация."
Бэкенд-разработчик,Backend Developer (Event-Driven),4-6,"Kafka, RabbitMQ, Event Sourcing, CQRS",Москва,145000,235000,Полная,Гибрид,"Event-driven архитектура."
Python-разработчик,Python Developer (Scraping),3-5,"Python, Scrapy, Selenium, Proxies, Parsing",Регионы,90000,150000,Полная,Удалённо,"Парсинг данных. Скрапинг."
Python-разработчик,Python Developer (Async),4-6,"Python, asyncio, aiohttp, FastAPI, AsyncIO",Москва,125000,205000,Полная,Гибрид,"Асинхронная разработка."
Data Scientist,Data Scientist (Experimentation),3-5,"Python, SQL, A/B Testing, Causal Inference",Москва,125000,205000,Полная,Гибрид,"Эксперименты. Каузальный вывод."
Data Scientist,Data Scientist (Anomaly),3-5,"Python, Isolation Forest, Autoencoders, Alerting",Москва,130000,215000,Полная,Гибрид,"Детекция аномалий. Мониторинг."
Full Stack,Full Stack Developer (Real-time),3-5,"React, Socket.io, Node.js, Redis, WebSocket",Москва,120000,195000,Полная,Гибрид,"Real-time приложения. Чаты."
Full Stack,Full Stack Developer (CMS),3-5,"React, Headless CMS, GraphQL, Content API",Регионы,100000,160000,Полная,Удалённо,"Headless CMS. Контент-менеджмент."
Мобильный разработчик,iOS Developer (Health),4-6,"Swift, HealthKit, HIPAA, Medical Data",Москва,145000,240000,Полная,Гибрид,"Медицинские приложения. HealthKit."
Мобильный разработчик,Android Developer (Health),4-6,"Kotlin, Health Connect, HIPAA, Medical Data",Москва,140000,235000,Полная,Гибрид,"Медицинские приложения. Health Connect."
ML Engineer,ML Engineer (Tabular),3-5,"Python, XGBoost, LightGBM, Tabular Data",Москва,135000,225000,Полная,Гибрид,"Табличные данные. Градиентный бустинг."
ML Engineer,ML Engineer (Reinforcement),4-6,"Python, RL, Gym, PPO, DQN, Simulation",Москва,160000,265000,Полная,Гибрид,"Обучение с подкреплением."
Cloud Engineer,Cloud Engineer (Multi-Cloud),5-7,"AWS, Azure, GCP, Terraform, Multi-Cloud",Москва,165000,275000,Полная,Гибрид,"Мульти-облачная инфраструктура."
Cloud Engineer,Cloud Engineer (Observability),4-6,"Prometheus, Grafana, ELK, Tracing, Metrics",Москва,145000,240000,Полная,Гибрид,"Наблюдаемость. Мониторинг."
Фронтенд-разработчик,Frontend Developer (Animation),3-5,"React, Framer Motion, GSAP, Animations, UX",Москва,105000,175000,Полная,Гибрид,"Анимации. Микро-взаимодействия."
Фронтенд-разработчик,Frontend Developer (SEO),3-5,"React, Next.js, SSR, SEO, Core Web Vitals",Регионы,100000,165000,Полная,Удалённо,"SEO-оптимизация. SSR."
Бэкенд-разработчик,Backend Developer (Search),4-6,"Elasticsearch, Solr, Ranking, NLP, Indexing",Москва,140000,230000,Полная,Гибрид,"Поисковые системы. Индексация."
Бэкенд-разработчик,Backend Developer (Streaming),4-6,"Kafka, Flink, Spark Streaming, Real-time",Москва,150000,245000,Полная,Гибрид,"Стриминг данных. Обработка."
Python-разработчик,Python Developer (ML Infra),4-6,"Python, MLflow, Kubeflow, Model Registry",Москва,140000,235000,Полная,Гибрид,"ML-инфраструктура. Версионирование."
Python-разработчик,Python Developer (ETL),4-6,"Python, Airflow, dbt, Snowflake, Data Warehousing",Москва,130000,215000,Полная,Гибрид,"ETL-процессы. Хранилища данных."
Data Scientist,Data Scientist (Causal),4-6,"Python, Causal ML, DoWhy, Econometrics",Москва,135000,225000,Полная,Гибрид,"Каузальный анализ. Эконометрика."
Data Scientist,Data Scientist (Geospatial),3-5,"Python, GeoPandas, PostGIS, Mapping, Spatial",Регионы,115000,190000,Полная,Удалённо,"Геоданные. Картография."
Full Stack,Full Stack Developer (Video),4-6,"React, WebRTC, FFmpeg, Streaming, Media",Москва,135000,220000,Полная,Гибрид,"Видео-платформы. Стриминг."
Full Stack,Full Stack Developer (Gaming),3-5,"React, Node.js, WebSocket, Game Logic",Москва,125000,205000,Полная,Да,"Игровые платформы. Игровая логика."
Мобильный разработчик,iOS Developer (Finance),4-6,"Swift, Security, Biometrics, Payments",Москва,150000,250000,Полная,Гибрид,"Финансовые приложения. Безопасность."
Мобильный разработчик,Android Developer (Finance),4-6,"Kotlin, Security, Biometrics, Payments",Москва,145000,245000,Полная,Гибрид,"Финансовые приложения."
ML Engineer,ML Engineer (Generative),4-6,"Python, GANs, Diffusion, LLMs, Generative AI",Москва,165000,275000,Полная,Гибрид,"Генеративные модели. LLM."
ML Engineer,ML Engineer (Federated),4-6,"Python, Federated Learning, Privacy, Distributed",Москва,155000,260000,Полная,Гибрид,"Федеративное обучение. Приватность."
Cloud Engineer,Cloud Engineer (Disaster Recovery),5-7,"DR Planning, Backup, Replication, Failover",Москва,160000,270000,Полная,Гибрид,"Аварийное восстановление."
Cloud Engineer,Cloud Engineer (Compliance),4-6,"GDPR, HIPAA, SOC2, Compliance, Auditing",Москва,150000,250000,Полная,Нет,"Соответствие стандартам. Аудит."
Фронтенд-разработчик,Frontend Developer (i18n),3-5,"React, i18next, RTL, Localization, UX",Регионы,95000,160000,Полная,Удалённо,"Интернационализация. Локализация."
Фронтенд-разработчик,Frontend Developer (Design System),4-6,"React, Storybook, Design Tokens, Component Lib",Москва,115000,190000,Полная,Гибрид,"Дизайн-системы. Компоненты."
Бэкенд-разработчик,Backend Developer (Rate Limiting),3-5,"Redis, Rate Limiting, API Gateway, Throttling",Москва,120000,195000,Полная,Да,"Ограничение запросов. Защита API."
Бэкенд-разработчик,Backend Developer (Caching),4-6,"Redis, Memcached, CDN, Cache Strategies",Москва,135000,220000,Полная,Гибрид,"Кэширование. Стратегии."
Python-разработчик,Python Developer (Testing),3-5,"Python, pytest, Mocking, Coverage, CI",Регионы,95000,155000,Полная,Удалённо,"Тестирование. Покрытие. Интеграция в CI."
Python-разработчик,Python Developer (Documentation),3-5,"Python, Sphinx, MkDocs, API Docs, Type Hints",Москва,105000,170000,Полная,Гибрид,"Документация. Type hints."
Data Scientist,Data Scientist (Feature Engineering),4-6,"Python, Feature Store, Transformation, Selection",Москва,140000,230000,Полная,Гибрид,"Feature engineering. Отбор признаков."
Data Scientist,Data Scientist (Model Monitoring),3-5,"Python, Drift Detection, Alerting, Metrics",Москва,130000,215000,Полная,Гибрид,"Мониторинг моделей. Дрейф."
Full Stack,Full Stack Developer (Authentication),4-6,"OAuth, JWT, SSO, Identity, Security",Москва,130000,215000,Полная,Гибрид,"Аутентификация. Авторизация."
Full Stack,Full Stack Developer (File Storage),3-5,"React, Node.js, S3, Upload, CDN, Processing",Регионы,105000,170000,Полная,Удалённо,"Хранение файлов. Загрузка."
Мобильный разработчик,iOS Developer (Offline),3-5,"Swift, Core Data, Sync, Offline-first",Москва,125000,205000,Полная,Гибрид,"Офлайн-режим. Синхронизация."
Мобильный разработчик,Android Developer (Offline),3-5,"Kotlin, Room, WorkManager, Offline-first",Москва,120000,200000,Полная,Гибрид,"Офлайн-режим. Синхронизация."
ML Engineer,ML Engineer (Interpretability),3-5,"Python, SHAP, LIME, Explainability, Fairness",Москва,135000,225000,Полная,Гибрид,"Интерпретируемость. Объяснимость."
ML Engineer,ML Engineer (Hyperparameter),3-5,"Python, Optuna, Ray Tune, HPO, Automation",Москва,140000,235000,Полная,Гибрид,"Оптимизация гиперпараметров."
Cloud Engineer,Cloud Engineer (Networking),4-6,"VPC, Load Balancers, DNS, CDN, Security Groups",Москва,145000,240000,Полная,Гибрид,"Сетевая инфраструктура."
Cloud Engineer,Cloud Engineer (Database),4-6,"RDS, Aurora, DynamoDB, Migration, Optimization",Москва,150000,250000,Полная,Гибрид,"Управление базами данных."
Фронтенд-разработчик,Frontend Developer (Micro-frontend),4-6,"React, Module Federation, Micro-frontends",Москва,125000,205000,Полная,Гибрид,"Микро-фронтенды. Масштабирование."
Фронтенд-разработчик,Frontend Developer (SSR),3-5,"Next.js, SSR, SSG, ISR, Performance",Регионы,105000,175000,Полная,Удалённо,"Server-side rendering."
Бэкенд-разработчик,Backend Developer (WebSockets),3-5,"WebSocket, Socket.io, Real-time, Scaling",Москва,125000,200000,Полная,Да,"Real-time коммуникации."
Бэкенд-разработчик,Backend Developer (Batch),4-6,"Airflow, Spark, Batch Processing, Scheduling",Москва,140000,230000,Полная,Гибрид,"Пакетная обработка. Планирование."
Python-разработчик,Python Developer (Concurrency),4-6,"Python, asyncio, multiprocessing, Threading",Москва,130000,215000,Полная,Гибрид,"Конкурентность. Параллелизм."
Python-разработчик,Python Developer (Type Safety),3-5,"Python, MyPy, Type Hints, Static Analysis",Регионы,100000,165000,Полная,Удалённо,"Типизация. Статический анализ."
Data Scientist,Data Scientist (Online Learning),3-5,"Python, Streaming ML, Online Algorithms",Москва,135000,225000,Полная,Гибрид,"Онлайн-обучение. Стриминг."
Data Scientist,Data Scientist (Graph),3-5,"Python, NetworkX, Graph Neural Networks, Neo4j",Москва,140000,235000,Полная,Гибрид,"Графовые модели."
Full Stack,Full Stack Developer (WebAssembly),3-5,"Rust/Wasm, React, Performance, Browser",Москва,130000,215000,Полная,Гибрид,"WebAssembly. Производительность."
Full Stack,Full Stack Developer (Edge Computing),4-6,"Cloudflare Workers, Edge Functions, Low Latency",Регионы,115000,190000,Полная,Удалённо,"Edge computing. Низкая задержка."
Мобильный разработчик,iOS Developer (Widget),3-5,"Swift, WidgetKit, Home Screen, Intents",Москва,120000,195000,Полная,Гибрид,"Виджеты. Home Screen."
Мобильный разработчик,Android Developer (Widget),3-5,"Kotlin, App Widgets, Home Screen, Intents",Москва,115000,190000,Полная,Гибрид,"Виджеты. Интеграции."
ML Engineer,ML Engineer (Compression),3-5,"Python, Quantization, Pruning, Distillation",Москва,135000,225000,Полная,Гибрид,"Сжатие моделей. Квантование."
ML Engineer,ML Engineer (Data-Centric),3-5,"Python, Data Quality, Labeling, Augmentation",Москва,130000,220000,Полная,Гибрид,"Data-centric AI. Качество данных."
Cloud Engineer,Cloud Engineer (Cost Management),4-6,"FinOps, Cost Allocation, Budgets, Optimization",Москва,145000,240000,Полная,Гибрид,"Управление затратами."
Cloud Engineer,Cloud Engineer (GitOps),4-6,"ArgoCD, Flux, GitOps, Kubernetes, Automation",Москва,150000,250000,Полная,Гибрид,"GitOps. Автоматизация деплоя."
Фронтенд-разработчик,Frontend Developer (State Management),3-5,"React, Zustand, Jotai, Redux, State Patterns",Регионы,100000,165000,Полная,Удалённо,"Управление состоянием."
Фронтенд-разработчик,Frontend Developer (Build Tools),3-5,"Vite, Webpack, esbuild, Build Optimization",Москва,110000,180000,Полная,Гибрид,"Инструменты сборки."
Бэкенд-разработчик,Backend Developer (API Design),3-5,"REST, OpenAPI, API First, Versioning, Docs",Москва,120000,195000,Полная,Да,"Дизайн API. Документация."
Бэкенд-разработчик,Backend Developer (Database Design),4-6,"PostgreSQL, Schema Design, Indexing, Optimization",Москва,135000,220000,Полная,Гибрид,"Дизайн БД. Индексы."
Python-разработчик,Python Developer (Packaging),3-5,"Python, Poetry, PyPI, Packaging, Distribution",Регионы,95000,160000,Полная,Удалённо,"Упаковка библиотек."
Python-разработчик,Python Developer (CLI),3-5,"Python, Click, Typer, CLI Tools, UX",Москва,105000,170000,Полная,Гибрид,"CLI-инструменты."
Data Scientist,Data Scientist (Synthetic Data),3-5,"Python, GANs, Privacy, Data Generation",Москва,130000,215000,Полная,Гибрид,"Синтетические данные. Приватность."
